kontakt_id,kampagne,rolle,branche,beschaeftigte,webinar_status,anliegen_kategorie,kontakt_erlaubt,followup_gesendet,antwort,gespraech_gebucht,gespraech_durchgefuehrt
A-001,A,Marketing,Technischer Handel,150,teilgenommen,leer,ja,1,0,0,0
A-002,A,Marketingleitung,B2B-Software,450,teilgenommen,leer,ja,1,0,0,0
A-003,A,Marketing,B2B-Dienstleister,120,teilgenommen,leer,ja,1,0,0,0
A-004,A,Kommunikation,Zulieferer,80,teilgenommen,leer,ja,1,0,0,0
A-005,A,Produktmarketing,Industrieunternehmen,450,teilgenommen,leer,ja,1,0,0,0
A-006,A,Digital Marketing,B2B-Software,80,teilgenommen,leer,ja,1,0,0,0
A-007,A,Digital Marketing,Zulieferer,300,teilgenommen,leer,ja,1,0,0,0
A-008,A,Kommunikation,B2B-Software,180,teilgenommen,leer,ja,1,0,0,0
A-009,A,Marketing Manager,Zulieferer,450,teilgenommen,leer,ja,1,0,0,0
A-010,A,Produktmarketing,B2B-Dienstleister,180,teilgenommen,leer,ja,1,0,0,0
A-011,A,Marketing Operations,B2B-Dienstleister,800,teilgenommen,leer,ja,1,0,0,0
A-012,A,Digital Marketing,B2B-Software,350,teilgenommen,leer,ja,1,1,0,0
A-013,A,Marketing Operations,Zulieferer,180,teilgenommen,leer,ja,1,0,0,0
A-014,A,Marketing,Logistik,180,teilgenommen,leer,ja,1,0,0,0
A-015,A,Kommunikation,Zulieferer,600,teilgenommen,leer,ja,1,0,0,0
A-016,A,Produktmarketing,Industrieunternehmen,200,teilgenommen,leer,ja,1,0,0,0
A-017,A,Marketingleitung,Industrieunternehmen,120,teilgenommen,leer,ja,1,0,0,0
A-018,A,Marketing Manager,Logistik,180,teilgenommen,leer,ja,1,0,0,0
A-019,A,Marketing,B2B-Dienstleister,120,teilgenommen,leer,ja,1,0,0,0
A-020,A,Produktmarketing,Zulieferer,350,teilgenommen,leer,ja,1,0,0,0
A-021,A,Marketing Operations,Zulieferer,250,teilgenommen,leer,ja,1,0,0,0
A-022,A,Produktmarketing,Maschinenbau,450,teilgenommen,nachlesen,ja,1,0,0,0
A-023,A,Kommunikation,B2B-Software,80,teilgenommen,nachlesen,ja,1,1,0,0
A-024,A,Kommunikation,Zulieferer,250,teilgenommen,nachlesen,ja,1,0,0,0
A-025,A,Marketing Manager,B2B-Software,80,teilgenommen,nachlesen,ja,1,0,0,0
A-026,A,Marketing Operations,B2B-Software,400,teilgenommen,nachlesen,ja,1,0,0,0
A-027,A,Marketing,B2B-Dienstleister,200,teilgenommen,nachlesen,ja,1,1,0,0
A-028,A,Marketing,Zulieferer,600,teilgenommen,nachlesen,ja,1,0,0,0
A-029,A,Marketing,B2B-Software,450,teilgenommen,nachlesen,ja,1,0,0,0
A-030,A,Produktmarketing,Zulieferer,120,teilgenommen,nachlesen,ja,1,0,0,0
A-031,A,Marketing Operations,Maschinenbau,80,teilgenommen,nachlesen,ja,1,0,0,0
